Rank,Artist,Song,Popularity,URL
Top 1,Jeff Bernat,Call You Mine (feat. Geologic Of The Blue Scholars),68,https://open.spotify.com/track/4m5HKGwULoA0SvhaXiDMPR
Top 2,Jeff Bernat,Changes,61,https://open.spotify.com/track/6YKb5UMzDOtfCfbPvJZ8XT
Top 3,Jeff Bernat,Cruel,61,https://open.spotify.com/track/0Dw7uVJBAKCm6dfCoabJV9
Top 4,Jeff Bernat,Still,61,https://open.spotify.com/track/6sv7ZmasB6qSiF8hWJNpDG
Top 5,Jeff Bernat,Wrong About Forever,57,https://open.spotify.com/track/6P2BlKa7uBwKV6KVsEBkmv
Top 6,Jeff Bernat,Wish You Well,55,https://open.spotify.com/track/5lKMZR9Imi8RREERjaJEb6
Top 7,Jeff Bernat,Once Upon a Time,54,https://open.spotify.com/track/7fU0YxB4RyawfEDv6vtYG7
Top 8,Jeff Bernat,If You Wonder,50,https://open.spotify.com/track/5o0yZH55eAwvRDK3EtgRoi
Top 9,Jeff Bernat,Ms. Seductive,49,https://open.spotify.com/track/4RIh17rtkBSo81N49B7w07
Top 10,Jeff Bernat,Just Vibe,47,https://open.spotify.com/track/0LBMWkQr0EeOyx1JN8xegE
